
BasicModel: Loading and testing schedule from file

Configuration: 

customers=Usuarios.txt
resources=Auxiliares.txt
services=clusters_originalLong/Servicios_lunes_c11.txt
locations=clusters_originalLong/Cluster_completo_j12_c11.txt
solution=null
solutionVAR=null

Adding 0 additional subservices: 

# customer, serviceReference, dayOfWeek, minHour, minMinute, maxHour, maxMinute, duration, latitude, longitude
--------
21485,21485.0.11:40.120/0,0,7,0,20,0,120,40.411,-3.7115
21604,21604.0.07:45.30/0,0,7,0,8,45,30,40.407,-3.7003
21604,21604.0.07:45.30/1,0,7,0,8,45,30,40.407,-3.7003
21604,21604.0.14:30.30/0,0,13,30,15,30,30,40.407,-3.7003
21604,21604.0.14:30.30/1,0,13,30,15,30,30,40.407,-3.7003
21995,21995.0.09:55.60/0,0,8,55,10,55,60,40.409,-3.7152
22081,22081.0.12:15.90/0,0,11,15,13,15,90,40.409,-3.7015
22083,22083.0.11:40.90/0,0,7,0,20,30,90,40.409,-3.6959
22194,22194.0.10:35.90/0,0,7,0,20,30,90,40.407,-3.7003
22290,22290.0.09:05.150/0,0,8,5,10,5,150,40.417,-3.7129
